site_no,station_nm,Latitude,Longitude,year,SSC_mgL
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1985,19.7414292056772
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1987,9.75250898381204
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1988,11.7750910260314
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1990,19.9596736011614
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1991,20.6168326360293
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1992,46.4880035105821
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1993,15.7792963090174
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1994,25.7283649754885
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1998,11.0390036379868
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,1999,14.4206857056396
st_s009_ref,st_s009_ref,63.9311002051992,-124.085829987018,2003,86.1193608435581
